	condition	participant	evaluation	redcube_mean	redcube_std	redcube_N	greencube_mean	greencube_std	greencube_N	bluecube_mean	bluecube_std	bluecube_N	bonus_mean	bonus_std	bonus_N	penalty_mean	penalty_std	penalty_N	lastcube_mean	lastcube_std	lastcube_N	overalltime_mean	overalltime_std	overalltime_N	boxestouched_mean	boxestouched_std	boxestouched_N	edgetouches_mean	edgetouches_std	edgetouches_N	distance_mean	distance_std	distance_N	taskcomplete_mean	taskcomplete_std	taskcomplete_N	removedcubes_mean	removedcubes_std	removedcubes_N	fallofftime_mean	fallofftime_std	fallofftime_N	lastmovedtime_mean	lastmovedtime_std	lastmovedtime_N	timeout_mean	timeout_std	timout_N	firstcube_mean	firstcube_std	firstcube_N	secondcube_mean	secondcube_std	secondcube_N	thirdcube_mean	thirdcube_std	thirdcube_N	firstcube_median	secondcube_median	thirdcube_median	lastcube_median	overalltime_median	boxestouched_median	edgetouches_median	distance_median	fallofftime_median	lastmovedtime_median	tests	keystrokes	searchmethod
15	0.0	44.0	1.0	3.9		1.0	4.87	0.98	3.0	5.65	2.05	2.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.06	0.24	99.0			0.0	398.0	0.0	99.0	1.0	0.0	99.0	4.97	1.28	6.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	398.0	0.0	513.0	1.0
16	0.0	44.0	2.0	3.9		1.0	37.42	65.12	4.0	5.65	2.05	2.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.07	0.26	99.0			0.0	106.73	88.06	99.0	1.0	0.0	99.0	23.56	49.2	7.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	87.9	3.0	112.0	1.0
17	0.0	44.0	3.0	3.7		1.0	4.73	0.92	3.0	5.4	1.98	2.0	0.0	0.0	99.0	0.0	0.0	99.0			0.0			0.0			0.0			0.0			0.0	0.0	0.0	99.0	0.06	0.24	99.0			0.0	372.04	101.5	99.0	1.0	0.0	99.0	4.78	1.23	6.0			0.0			0.0	500.0	500.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	400.0	5.0	101.0	1.0
18	0.0	44.0	4.0	44.01	47.27	78.0	62.37	40.16	89.0	76.72	56.88	94.0	0.0	0.0	99.0	0.0	0.0	99.0	107.75	57.9	64.0	107.75	57.9	64.0	12.36	4.64	64.0	4.77	4.24	64.0	5605.36	2210.78	64.0	0.65	0.48	99.0	2.64	0.5	99.0			0.0	210.93	147.74	99.0	0.35	0.48	99.0	25.6	19.86	99.0	69.03	38.08	98.0	107.75	57.9	64.0	17.2	64.5	129.2	129.2	129.2	15.0	6.0	6590.28	500.0	129.2	3.0	195.0	1.0
19	0.0	44.0	5.0	103.92	91.86	52.0	99.66	76.44	62.0	104.41	93.75	57.0	0.0	0.0	99.0	0.0	0.0	99.0	160.38	76.07	27.0	160.38	76.07	27.0	17.26	7.0	27.0	3.89	2.75	27.0	9107.83	3680.09	27.0	0.27	0.45	99.0	1.73	0.97	99.0	30.44		1.0	330.85	117.98	99.0	0.72	0.45	99.0	69.34	72.08	90.0	128.96	91.09	54.0	160.38	76.07	27.0	54.0	247.9	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	400.0	2.0	65.0	1.0
20		45.0	1.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0													
21		45.0	2.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0													
22		45.0	3.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0													
23		45.0	4.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0													
24		45.0	5.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0			0.0													
25	0.0	46.0	1.0	23.49	10.93	97.0	34.64	12.73	99.0	11.85	9.22	99.0	13.03	7.88	99.0	11.21	7.6	99.0	37.64	9.55	97.0	35.68	18.38	97.0	10.14	2.59	97.0	5.28	1.37	97.0	5876.34	1502.87	97.0	0.98	0.14	99.0	2.98	0.14	99.0			0.0	44.87	51.63	99.0	0.02	0.14	99.0	7.47	6.15	99.0	25.16	6.23	99.0	37.64	9.55	97.0	4.9	26.8	40.9	40.9	34.9	10.0	6.0	6455.76	500.0	40.8	0.0	1025.0	1.0
26	0.0	46.0	2.0	13.02	5.71	99.0	12.47	5.15	99.0	8.94	5.6	99.0	8.89	6.37	99.0	5.45	6.43	99.0	17.61	3.23	99.0	14.18	9.93	99.0	6.51	1.45	99.0	2.95	0.81	99.0	2807.72	540.11	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	17.61	3.24	99.0	0.0	0.0	99.0	5.19	2.08	99.0	11.64	2.76	99.0	17.61	3.23	99.0	4.7	10.8	17.3	17.3	14.5	6.0	3.0	2695.02	500.0	17.3	3.0	150.0	1.0
27	0.0	46.0	3.0	14.1	6.08	99.0	13.81	5.71	99.0	9.85	5.87	99.0	8.28	5.9	99.0	5.76	6.4	99.0	19.16	3.27	99.0	16.64	10.0	99.0	6.36	1.15	99.0	2.86	0.71	99.0	2800.86	519.38	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	19.16	3.27	99.0	0.0	0.0	99.0	5.85	2.35	99.0	12.74	3.12	99.0	19.16	3.27	99.0	5.5	11.8	19.3	19.3	16.6	6.0	3.0	2688.81	500.0	19.3	2.0	364.0	1.0
28	0.0	46.0	4.0	14.89	6.57	99.0	14.33	6.05	99.0	10.19	6.22	99.0	8.59	6.23	99.0	5.45	6.43	99.0	20.18	3.56	99.0	17.05	9.92	99.0	6.49	1.36	99.0	2.86	0.76	99.0	2822.61	546.22	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	20.18	3.56	99.0	0.0	0.0	99.0	5.94	2.5	99.0	13.31	3.22	99.0	20.18	3.56	99.0	5.5	12.4	19.9	19.9	17.7	6.0	3.0	2693.21	500.0	19.9	2.0	66.0	1.0
29	0.0	46.0	5.0	17.0	7.53	99.0	16.35	10.86	99.0	10.67	6.71	99.0	9.6	5.88	99.0	7.58	6.08	99.0	22.85	8.92	99.0	20.83	11.2	99.0	6.87	2.03	99.0	3.2	1.87	99.0	3056.5	712.14	99.0	1.0	0.0	99.0	3.0	0.0	99.0			0.0	22.85	8.92	99.0	0.0	0.0	99.0	6.63	3.55	99.0	14.54	4.36	99.0	22.85	8.92	99.0	5.8	13.7	21.3	21.3	20.5	6.0	3.0	2850.9	500.0	21.3	3.0	87.0	1.0
30	1.0	47.0	1.0	44.43	33.47	86.0	62.04	67.7	85.0	54.56	41.59	80.0	5.25	5.02	99.0	6.87	8.53	99.0	87.79	61.77	59.0	90.67	62.1	59.0	14.31	5.64	59.0	7.92	6.14	59.0	6209.49	2923.07	59.0	0.6	0.49	99.0	2.54	0.64	99.0			0.0	213.87	161.16	99.0	0.4	0.49	99.0	27.22	22.99	97.0	59.36	48.23	95.0	87.79	61.77	59.0	23.3	47.8	121.6	121.6	122.5	20.0	11.0	8249.65	500.0	121.6	35.0	878.0	2.0
31	1.0	47.0	2.0	53.99	56.91	90.0	69.26	61.97	89.0	69.53	64.83	88.0	5.15	5.02	99.0	8.38	9.11	99.0	109.86	82.0	72.0	114.03	83.05	72.0	13.35	5.75	72.0	8.01	6.66	72.0	7349.6	4302.46	72.0	0.73	0.45	99.0	2.7	0.52	99.0			0.0	188.87	147.46	99.0	0.27	0.45	99.0	32.51	28.67	99.0	62.64	45.68	96.0	109.86	82.0	72.0	24.1	47.7	127.6	127.6	127.6	16.0	9.0	8642.95	500.0	127.6	5.0	105.0	2.0
32	1.0	47.0	3.0	53.18	68.41	79.0	79.81	68.84	87.0	63.56	59.72	87.0	1.72	3.79	99.0	2.63	6.48	99.0	118.6	88.98	62.0	119.9	89.0	62.0	14.1	6.97	62.0	9.89	8.54	62.0	7059.78	3863.46	62.0	0.63	0.49	99.0	2.56	0.64	99.0			0.0	223.64	153.8	99.0	0.37	0.49	99.0	33.86	36.33	98.0	64.55	49.49	93.0	118.6	88.98	62.0	24.9	51.9	152.6	152.6	156.1	17.0	15.0	8804.59	500.0	152.6	5.0	122.0	2.0
33	1.0	47.0	4.0	43.02	34.99	92.0	71.99	57.11	87.0	60.45	49.38	89.0	1.41	3.5	99.0	1.62	4.67	99.0	93.1	59.59	71.0	93.38	59.59	71.0	14.1	6.8	71.0	7.68	5.47	71.0	6096.9	2798.81	71.0	0.72	0.45	99.0	2.71	0.48	99.0			0.0	179.81	147.76	99.0	0.28	0.45	99.0	31.98	26.6	99.0	59.44	42.12	98.0	93.1	59.59	71.0	26.5	49.3	113.2	113.2	113.2	16.0	8.0	7391.81	500.0	113.2	3.0	123.0	2.0
34	1.0	47.0	5.0	43.01	34.99	92.0	71.99	57.11	87.0	60.44	49.38	89.0	2.73	5.31	99.0	3.64	6.92	99.0	93.1	59.59	71.0	94.36	61.08	71.0	14.11	6.79	71.0	7.68	5.47	71.0	6096.9	2798.81	71.0	0.72	0.45	99.0	2.71	0.48	99.0			0.0	179.8	147.77	99.0	0.28	0.45	99.0	31.97	26.59	99.0	59.43	42.12	98.0	93.1	59.59	71.0	26.5	49.3	113.2	113.2	113.2	16.0	8.0	7391.81	500.0	113.2	6.0	88.0	2.0
35	0.0	48.0	1.0	140.2	114.44	60.0	150.66	121.88	51.0	68.78	107.38	59.0	16.77	11.5	99.0	0.2	1.41	99.0	179.46	104.18	37.0	150.54	105.14	37.0	20.95	11.79	37.0	19.97	11.79	37.0	11816.24	8891.83	37.0	0.37	0.49	99.0	1.72	1.17	99.0			0.0	316.62	123.88	99.0	0.63	0.49	99.0	57.05	96.09	79.0	166.78	118.04	54.0	179.46	104.18	37.0	12.4	359.1	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	398.1	0.0	2831.0	1.0
36	0.0	48.0	2.0	142.96	117.63	56.0	150.31	121.31	46.0	63.75	105.75	55.0	15.56	12.06	99.0	0.1	1.01	99.0	184.04	112.28	34.0	155.22	111.14	34.0	20.74	12.09	34.0	19.56	11.85	34.0	12394.13	9349.66	34.0	0.34	0.48	99.0	1.59	1.22	99.0			0.0	324.74	121.33	99.0	0.66	0.48	99.0	50.96	94.12	72.0	166.65	112.63	51.0	184.04	112.28	34.0	13.6	354.6	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	397.4	3.0	347.0	1.0
37	0.0	48.0	3.0	49.58	37.5	95.0	58.27	40.71	96.0	21.98	20.05	98.0	0.0	0.0	99.0	0.0	0.0	99.0	72.9	34.19	92.0	72.9	34.19	92.0	10.9	5.49	92.0	7.09	3.74	92.0	3716.35	1910.07	92.0	0.93	0.26	99.0	2.92	0.31	99.0			0.0	95.66	89.5	99.0	0.07	0.26	99.0	10.86	7.87	99.0	47.72	31.99	98.0	72.9	34.19	92.0	8.8	39.8	67.6	67.6	67.6	10.0	7.0	3306.9	500.0	67.6	2.0	235.0	1.0
38	0.0	48.0	4.0	46.45	51.15	94.0	33.5	22.27	98.0	46.37	64.82	98.0	28.59	3.5	99.0	0.71	2.58	99.0	80.51	59.95	92.0	52.03	61.1	92.0	9.95	5.55	92.0	7.62	6.12	92.0	3776.99	1891.96	92.0	0.93	0.26	99.0	2.93	0.26	99.0			0.0	102.63	99.42	99.0	0.07	0.26	99.0	11.52	14.67	99.0	36.84	36.5	99.0	80.51	59.95	92.0	8.7	29.6	61.3	61.3	31.3	9.0	6.0	3336.0	500.0	61.3	6.0	120.0	1.0
39	0.0	48.0	5.0	31.05	55.57	77.0	19.32	11.7	97.0	21.99	29.45	97.0	0.0	0.0	99.0	0.0	0.0	99.0	44.85	46.48	75.0	44.85	46.48	75.0	9.11	4.82	75.0	5.25	7.01	75.0	3306.75	1067.38	75.0	0.76	0.43	99.0	2.74	0.49	99.0			0.0	68.36	85.74	99.0	0.24	0.43	99.0	7.77	3.75	99.0	23.35	34.98	97.0	44.85	46.48	75.0	6.6	17.3	38.9	38.9	38.9	10.0	4.0	3462.05	500.0	38.1	6.0	227.0	1.0
40	1.0	49.0	1.0	43.07	34.68	75.0	34.76	19.11	80.0	57.39	47.54	84.0	0.0	0.0	99.0	0.0	0.0	99.0	110.35	28.6	42.0	110.35	28.6	42.0	12.74	5.04	42.0	2.98	1.51	42.0	2454.67	436.13	42.0	0.42	0.5	99.0	2.41	0.52	99.0			0.0	116.53	88.54	99.0	0.58	0.5	99.0	19.96	11.49	99.0	43.07	19.98	98.0	110.35	28.6	42.0	16.6	37.0	500.0	500.0	500.0	500.0	500.0	99999.0	500.0	91.1	19.0	558.0	3.0
